route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,2,2_8228747,"RACŁAWICKA",0,796203,22,1,796203
A,2,2_8228926,"RACŁAWICKA",0,796203,2,2,796203
A,2,2_8228928,"RACŁAWICKA",0,796203,2,2,796203
A,2,2_8228930,"RACŁAWICKA",0,796203,2,2,796203
A,2,2_8228932,"RACŁAWICKA",0,796203,2,2,796203
A,2,2_8228934,"RACŁAWICKA",0,796203,2,2,796203
A,2,2_8228939,"RACŁAWICKA",0,796203,3,2,796203
A,2,2_8228941,"RACŁAWICKA",0,796203,3,2,796203
A,2,2_8228943,"RACŁAWICKA",0,796203,3,2,796203
A,2,2_8228945,"RACŁAWICKA",0,796203,3,2,796203
A,2,2_8228953,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228955,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228957,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228959,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228961,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228963,"RACŁAWICKA",0,796203,4,2,796203
A,2,2_8228971,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228973,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228975,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228977,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228979,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228981,"RACŁAWICKA",0,796203,5,2,796203
A,2,2_8228985,"RACŁAWICKA",0,796203,7,2,796203
A,2,2_8228987,"RACŁAWICKA",0,796203,7,2,796203
A,2,2_8228989,"RACŁAWICKA",0,796203,7,2,796203
A,2,2_8228991,"RACŁAWICKA",0,796203,7,2,796203
A,2,2_8228993,"RACŁAWICKA",0,796203,7,2,796203
A,2,2_8228997,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8228999,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8229001,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8229003,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8229005,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8229007,"RACŁAWICKA",0,796203,8,2,796203
A,2,2_8229011,"RACŁAWICKA",0,796203,9,2,796203
A,2,2_8229013,"RACŁAWICKA",0,796203,9,2,796203
A,2,2_8229015,"RACŁAWICKA",0,796203,9,2,796203
A,2,2_8229017,"RACŁAWICKA",0,796203,9,2,796203
A,2,2_8229019,"RACŁAWICKA",0,796203,9,2,796203
A,2,2_8229021,"RACŁAWICKA",0,796203,9,2,796203
